,label,speed
277,1,"[33, 32, 34, 33, 32, 35, 33, 31, 27, 18, 12, 10]"
278,1,"[34, 32, 34, 32, 32, 20, 26, 31, 23, 14, 11, 11]"
279,1,"[36, 33, 34, 35, 32, 29, 25, 34, 20, 20, 15, 10]"
280,1,"[33, 36, 24, 26, 20, 21, 18, 11, 11, 12, 10, 12]"
281,1,"[34, 33, 34, 34, 32, 34, 34, 35, 35, 35, 29, 15]"
282,1,"[26, 36, 33, 33, 30, 17, 20, 20, 22, 18, 16, 11]"
283,1,"[34, 34, 33, 34, 30, 24, 17, 17, 21, 12, 10, 14]"
284,1,"[35, 35, 35, 35, 38, 33, 27, 22, 21, 14, 12, 13]"
285,1,"[33, 35, 32, 34, 28, 28, 10, 34, 32, 24, 16, 10]"
286,1,"[35, 33, 36, 34, 33, 30, 27, 35, 32, 19, 16, 14]"
287,1,"[30, 31, 33, 34, 36, 30, 31, 22, 25, 22, 13, 14]"
288,1,"[35, 36, 35, 33, 34, 35, 33, 36, 35, 30, 19, 16]"
289,1,"[36, 35, 35, 33, 34, 33, 27, 20, 15, 11, 11, 14]"
290,1,"[34, 34, 35, 33, 32, 34, 34, 35, 22, 17, 13, 10]"
291,1,"[33, 30, 27, 33, 36, 33, 33, 23, 25, 14, 18, 15]"
292,1,"[35, 35, 34, 29, 27, 32, 32, 31, 34, 34, 17, 16]"
293,1,"[36, 35, 31, 32, 33, 33, 33, 30, 21, 17, 12, 11]"
294,1,"[34, 33, 33, 34, 34, 36, 32, 19, 19, 16, 16, 10]"
295,1,"[43, 39, 36, 37, 39, 38, 38, 36, 25, 26, 19, 10]"
296,1,"[33, 32, 32, 33, 34, 34, 36, 33, 28, 23, 22, 17]"
297,1,"[32, 33, 32, 33, 31, 28, 24, 20, 26, 17, 15, 12]"
298,1,"[41, 39, 36, 39, 37, 36, 37, 35, 37, 36, 33, 22]"
299,1,"[28, 22, 22, 31, 35, 34, 33, 31, 17, 13, 14, 10]"
300,1,"[25, 33, 33, 33, 36, 36, 33, 26, 26, 17, 16, 10]"
301,1,"[33, 34, 35, 19, 35, 27, 28, 34, 34, 33, 25, 15]"
302,1,"[29, 32, 33, 35, 35, 32, 27, 14, 15, 18, 10, 12]"
303,1,"[22, 33, 35, 33, 24, 33, 28, 26, 24, 33, 32, 12]"
304,1,"[34, 35, 34, 33, 33, 27, 26, 22, 34, 28, 12, 10]"
305,1,"[35, 33, 34, 34, 34, 33, 34, 32, 34, 19, 18, 13]"
306,1,"[35, 34, 32, 35, 22, 18, 19, 25, 16, 12, 11, 11]"
307,1,"[37, 38, 34, 35, 37, 34, 34, 35, 35, 36, 27, 12]"
308,1,"[28, 34, 35, 37, 34, 28, 18, 15, 12, 15, 12, 10]"
309,1,"[36, 35, 36, 34, 38, 33, 33, 34, 13, 14, 14, 13]"
310,1,"[35, 36, 34, 31, 34, 26, 24, 28, 25, 17, 12, 10]"
311,1,"[33, 35, 34, 34, 36, 33, 34, 20, 19, 19, 14, 11]"
312,1,"[25, 37, 35, 35, 33, 33, 34, 36, 36, 18, 10, 10]"
313,1,"[21, 29, 35, 34, 28, 18, 15, 15, 14, 15, 15, 11]"
314,1,"[34, 35, 33, 33, 35, 32, 14, 14, 13, 11, 12, 11]"
315,1,"[33, 34, 33, 38, 28, 26, 22, 14, 11, 11, 12, 10]"
316,1,"[32, 22, 21, 21, 22, 16, 17, 17, 19, 16, 12, 10]"
317,1,"[33, 33, 32, 34, 34, 34, 34, 32, 24, 17, 11, 12]"
318,1,"[33, 35, 31, 33, 35, 33, 35, 36, 32, 32, 26, 14]"
319,1,"[26, 34, 34, 35, 27, 17, 14, 18, 17, 20, 13, 12]"
320,1,"[26, 28, 23, 20, 21, 23, 25, 16, 17, 16, 22, 18]"
321,1,"[56, 53, 54, 54, 53, 52, 50, 47, 45, 37, 24, 14]"
322,1,"[56, 54, 52, 53, 51, 48, 47, 39, 28, 21, 15, 15]"
323,1,"[53, 52, 52, 49, 47, 48, 44, 30, 17, 13, 11, 13]"
324,1,"[41, 41, 39, 39, 36, 35, 24, 26, 18, 11, 11, 10]"
